1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551,0.000151551
3,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833,0.000302833
4,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841,0.000453841
5,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464,0.001949464
6,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838,0.00341838
7,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857,0.004860857
8,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306,0.006277306
9,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655,0.011379655
10,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784,0.016144784
11,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192,0.020594192
12,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805,0.024748805
13,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642,0.036489642
14,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708
15,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708,0.045120708
